name,code,address,description,phone,web_site,country
CompanyT,CodeT,Description ForT,6015345467,ww.companyD.com,mex
CompanyA,CodeA,Description ForA,6015345450,ww.companyA.com,usa
CompanyB,CodeB,Description ForB,6015345450,ww.companyB.com,usa
CompanyC,CodeC,Description ForC,6015345450,ww.companyC.com,usa
CompanyD,CodeD,Description ForD,6015345451,ww.companyD.com,usa
CompanyE,CodeE,Description ForE,6015345452,ww.companyA.com,col
CompanyF,CodeF,Description ForF,6015345453,ww.companyB.com,mex
CompanyG,CodeG,Description ForG,6015345454,ww.companyC.com,can
CompanyH,CodeH,Description ForH,6015345455,ww.companyD.com,usa
CompanyI,CodeI,Description ForI,6015345456,ww.companyA.com,usa
CompanyJ,CodeJ,Description ForJ,6015345457,ww.companyB.com,usa
CompanyK,CodeK,Description ForK,6015345458,ww.companyC.com,usa
CompanyL,CodeL,Description ForL,6015345459,ww.companyD.com,col
CompanyM,CodeM,Description ForM,6015345460,ww.companyA.com,mex
CompanyN,CodeN,Description ForN,6015345461,ww.companyB.com,can
CompanyO,CodeO,Description ForO,6015345462,ww.companyC.com,usa
CompanyP,CodeP,Description ForP,6015345463,ww.companyD.com,usa
CompanyQ,CodeQ,Description ForQ,6015345464,ww.companyA.com,usa
CompanyR,CodeR,Description ForR,6015345465,ww.companyB.com,usa
CompanyS,CodeS,Description ForS,6015345466,ww.companyC.com,col
CompanyT,CodeT,Description ForT,6015345467,ww.companyD.com,mex
CompanyU,CodeU,Description ForU,6015345468,ww.companyA.com,can
CompanyV,CodeV,Description ForV,6015345469,ww.companyB.com,usa
CompanyW,CodeW,Description ForW,6015345470,ww.companyC.com,usa
CompanyX,CodeX,Description ForX,6015345471,ww.companyD.com,usa
CompanyY,CodeY,Description ForY,6015345472,ww.companyA.com,usa
CompanyZ,CodeZ,Description ForZ,6015345473,ww.companyB.com,col
CompanyA,CodeA,Description ForA,6015345450,ww.companyA.com,usa
CompanyB,CodeB,Description ForB,6015345450,ww.companyB.com,usa
CompanyC,CodeC,Description ForC,6015345450,ww.companyC.com,usa
CompanyD,CodeD,Description ForD,6015345451,ww.companyD.com,usa
CompanyE,CodeE,Description ForE,6015345452,ww.companyA.com,col
CompanyF,CodeF,Description ForF,6015345453,ww.companyB.com,mex
CompanyG,CodeG,Description ForG,6015345454,ww.companyC.com,can
CompanyH,CodeH,Description ForH,6015345455,ww.companyD.com,usa
CompanyI,CodeI,Description ForI,6015345456,ww.companyA.com,usa
CompanyJ,CodeJ,Description ForJ,6015345457,ww.companyB.com,usa
CompanyK,CodeK,Description ForK,6015345458,ww.companyC.com,usa
CompanyL,CodeL,Description ForL,6015345459,ww.companyD.com,col
CompanyM,CodeM,Description ForM,6015345460,ww.companyA.com,mex
CompanyN,CodeN,Description ForN,6015345461,ww.companyB.com,can
CompanyO,CodeO,Description ForO,6015345462,ww.companyC.com,usa
CompanyP,CodeP,Description ForP,6015345463,ww.companyD.com,usa
CompanyQ,CodeQ,Description ForQ,6015345464,ww.companyA.com,usa
CompanyR,CodeR,Description ForR,6015345465,ww.companyB.com,usa
CompanyS,CodeS,Description ForS,6015345466,ww.companyC.com,col
CompanyT,CodeT,Description ForT,6015345467,ww.companyD.com,mex
CompanyU,CodeU,Description ForU,6015345468,ww.companyA.com,can
CompanyV,CodeV,Description ForV,6015345469,ww.companyB.com,usa
CompanyW,CodeW,Description ForW,6015345470,ww.companyC.com,usa
CompanyX,CodeX,Description ForX,6015345471,ww.companyD.com,usa
CompanyY,CodeY,Description ForY,6015345472,ww.companyA.com,usa
CompanyZ,CodeZ,Description ForZ,6015345473,ww.companyB.com,col
CompanyA,CodeA,Description ForA,6015345450,ww.companyA.com,usa
CompanyB,CodeB,Description ForB,6015345450,ww.companyB.com,usa
CompanyC,CodeC,Description ForC,6015345450,ww.companyC.com,usa
CompanyD,CodeD,Description ForD,6015345451,ww.companyD.com,usa
CompanyE,CodeE,Description ForE,6015345452,ww.companyA.com,col
CompanyF,CodeF,Description ForF,6015345453,ww.companyB.com,mex
CompanyG,CodeG,Description ForG,6015345454,ww.companyC.com,can
CompanyH,CodeH,Description ForH,6015345455,ww.companyD.com,usa
CompanyI,CodeI,Description ForI,6015345456,ww.companyA.com,usa
CompanyJ,CodeJ,Description ForJ,6015345457,ww.companyB.com,usa
CompanyK,CodeK,Description ForK,6015345458,ww.companyC.com,usa
CompanyL,CodeL,Description ForL,6015345459,ww.companyD.com,col
CompanyM,CodeM,Description ForM,6015345460,ww.companyA.com,mex
CompanyN,CodeN,Description ForN,6015345461,ww.companyB.com,can
CompanyO,CodeO,Description ForO,6015345462,ww.companyC.com,usa
CompanyP,CodeP,Description ForP,6015345463,ww.companyD.com,usa
CompanyQ,CodeQ,Description ForQ,6015345464,ww.companyA.com,usa
CompanyR,CodeR,Description ForR,6015345465,ww.companyB.com,usa
CompanyS,CodeS,Description ForS,6015345466,ww.companyC.com,col
CompanyT,CodeT,Description ForT,6015345467,ww.companyD.com,mex
CompanyU,CodeU,Description ForU,6015345468,ww.companyA.com,can
CompanyV,CodeV,Description ForV,6015345469,ww.companyB.com,usa
CompanyW,CodeW,Description ForW,6015345470,ww.companyC.com,usa
CompanyX,CodeX,Description ForX,6015345471,ww.companyD.com,usa
CompanyY,CodeY,Description ForY,6015345472,ww.companyA.com,usa
CompanyZ,CodeZ,Description ForZ,6015345473,ww.companyB.com,col
CompanyA,CodeA,Description ForA,6015345450,ww.companyA.com,usa
CompanyB,CodeB,Description ForB,6015345450,ww.companyB.com,usa
CompanyC,CodeC,Description ForC,6015345450,ww.companyC.com,usa
CompanyD,CodeD,Description ForD,6015345451,ww.companyD.com,usa
CompanyE,CodeE,Description ForE,6015345452,ww.companyA.com,col
CompanyF,CodeF,Description ForF,6015345453,ww.companyB.com,mex
CompanyG,CodeG,Description ForG,6015345454,ww.companyC.com,can
CompanyH,CodeH,Description ForH,6015345455,ww.companyD.com,usa
CompanyI,CodeI,Description ForI,6015345456,ww.companyA.com,usa
CompanyJ,CodeJ,Description ForJ,6015345457,ww.companyB.com,usa
CompanyK,CodeK,Description ForK,6015345458,ww.companyC.com,usa
CompanyL,CodeL,Description ForL,6015345459,ww.companyD.com,col
CompanyM,CodeM,Description ForM,6015345460,ww.companyA.com,mex
CompanyN,CodeN,Description ForN,6015345461,ww.companyB.com,can
CompanyO,CodeO,Description ForO,6015345462,ww.companyC.com,usa
CompanyP,CodeP,Description ForP,6015345463,ww.companyD.com,usa
CompanyQ,CodeQ,Description ForQ,6015345464,ww.companyA.com,usa
CompanyR,CodeR,Description ForR,6015345465,ww.companyB.com,usa
CompanyS,CodeS,Description ForS,6015345466,ww.companyC.com,col
CompanyT,CodeT,Description ForT,6015345467,ww.companyD.com,mex
CompanyT,CodeT,Description ForT,6015345467,ww.companyD.com,mex
CompanyT,CodeT,Description ForT,6015345467,ww.companyD.com,mex
CompanyA,CodeA,Description ForA,6015345450,ww.companyA.com,usa
CompanyB,CodeB,Description ForB,6015345450,ww.companyB.com,usa
CompanyC,CodeC,Description ForC,6015345450,ww.companyC.com,usa
CompanyD,CodeD,Description ForD,6015345451,ww.companyD.com,usa
CompanyE,CodeE,Description ForE,6015345452,ww.companyA.com,col
CompanyF,CodeF,Description ForF,6015345453,ww.companyB.com,mex
CompanyG,CodeG,Description ForG,6015345454,ww.companyC.com,can
CompanyH,CodeH,Description ForH,6015345455,ww.companyD.com,usa
CompanyI,CodeI,Description ForI,6015345456,ww.companyA.com,usa
CompanyJ,CodeJ,Description ForJ,6015345457,ww.companyB.com,usa
CompanyK,CodeK,Description ForK,6015345458,ww.companyC.com,usa
CompanyL,CodeL,Description ForL,6015345459,ww.companyD.com,col
CompanyM,CodeM,Description ForM,6015345460,ww.companyA.com,mex
CompanyN,CodeN,Description ForN,6015345461,ww.companyB.com,can
CompanyO,CodeO,Description ForO,6015345462,ww.companyC.com,usa
CompanyP,CodeP,Description ForP,6015345463,ww.companyD.com,usa
CompanyQ,CodeQ,Description ForQ,6015345464,ww.companyA.com,usa
CompanyR,CodeR,Description ForR,6015345465,ww.companyB.com,usa
CompanyS,CodeS,Description ForS,6015345466,ww.companyC.com,col
CompanyT,CodeT,Description ForT,6015345467,ww.companyD.com,mex
CompanyU,CodeU,Description ForU,6015345468,ww.companyA.com,can
CompanyV,CodeV,Description ForV,6015345469,ww.companyB.com,usa
CompanyW,CodeW,Description ForW,6015345470,ww.companyC.com,usa
CompanyX,CodeX,Description ForX,6015345471,ww.companyD.com,usa
CompanyY,CodeY,Description ForY,6015345472,ww.companyA.com,usa
CompanyZ,CodeZ,Description ForZ,6015345473,ww.companyB.com,col
CompanyA,CodeA,Description ForA,6015345450,ww.companyA.com,usa
CompanyB,CodeB,Description ForB,6015345450,ww.companyB.com,usa
CompanyC,CodeC,Description ForC,6015345450,ww.companyC.com,usa
CompanyD,CodeD,Description ForD,6015345451,ww.companyD.com,usa
CompanyE,CodeE,Description ForE,6015345452,ww.companyA.com,col
CompanyF,CodeF,Description ForF,6015345453,ww.companyB.com,mex
CompanyG,CodeG,Description ForG,6015345454,ww.companyC.com,can
CompanyH,CodeH,Description ForH,6015345455,ww.companyD.com,usa
CompanyI,CodeI,Description ForI,6015345456,ww.companyA.com,usa
CompanyJ,CodeJ,Description ForJ,6015345457,ww.companyB.com,usa
CompanyK,CodeK,Description ForK,6015345458,ww.companyC.com,usa
CompanyL,CodeL,Description ForL,6015345459,ww.companyD.com,col
CompanyM,CodeM,Description ForM,6015345460,ww.companyA.com,mex
CompanyN,CodeN,Description ForN,6015345461,ww.companyB.com,can
CompanyO,CodeO,Description ForO,6015345462,ww.companyC.com,usa
CompanyP,CodeP,Description ForP,6015345463,ww.companyD.com,usa
CompanyQ,CodeQ,Description ForQ,6015345464,ww.companyA.com,usa
CompanyR,CodeR,Description ForR,6015345465,ww.companyB.com,usa
CompanyS,CodeS,Description ForS,6015345466,ww.companyC.com,col
CompanyT,CodeT,Description ForT,6015345467,ww.companyD.com,mex
CompanyU,CodeU,Description ForU,6015345468,ww.companyA.com,can
CompanyV,CodeV,Description ForV,6015345469,ww.companyB.com,usa
CompanyW,CodeW,Description ForW,6015345470,ww.companyC.com,usa
CompanyX,CodeX,Description ForX,6015345471,ww.companyD.com,usa
CompanyY,CodeY,Description ForY,6015345472,ww.companyA.com,usa
CompanyZ,CodeZ,Description ForZ,6015345473,ww.companyB.com,col
CompanyA,CodeA,Description ForA,6015345450,ww.companyA.com,usa
CompanyB,CodeB,Description ForB,6015345450,ww.companyB.com,usa
CompanyC,CodeC,Description ForC,6015345450,ww.companyC.com,usa
CompanyD,CodeD,Description ForD,6015345451,ww.companyD.com,usa
CompanyE,CodeE,Description ForE,6015345452,ww.companyA.com,col
CompanyF,CodeF,Description ForF,6015345453,ww.companyB.com,mex
CompanyG,CodeG,Description ForG,6015345454,ww.companyC.com,can
CompanyH,CodeH,Description ForH,6015345455,ww.companyD.com,usa
CompanyI,CodeI,Description ForI,6015345456,ww.companyA.com,usa
CompanyJ,CodeJ,Description ForJ,6015345457,ww.companyB.com,usa
CompanyK,CodeK,Description ForK,6015345458,ww.companyC.com,usa
CompanyL,CodeL,Description ForL,6015345459,ww.companyD.com,col
CompanyM,CodeM,Description ForM,6015345460,ww.companyA.com,mex
CompanyN,CodeN,Description ForN,6015345461,ww.companyB.com,can
CompanyO,CodeO,Description ForO,6015345462,ww.companyC.com,usa
CompanyP,CodeP,Description ForP,6015345463,ww.companyD.com,usa
CompanyQ,CodeQ,Description ForQ,6015345464,ww.companyA.com,usa
CompanyR,CodeR,Description ForR,6015345465,ww.companyB.com,usa
CompanyS,CodeS,Description ForS,6015345466,ww.companyC.com,col
CompanyT,CodeT,Description ForT,6015345467,ww.companyD.com,mex
CompanyU,CodeU,Description ForU,6015345468,ww.companyA.com,can
CompanyV,CodeV,Description ForV,6015345469,ww.companyB.com,usa
CompanyW,CodeW,Description ForW,6015345470,ww.companyC.com,usa
CompanyX,CodeX,Description ForX,6015345471,ww.companyD.com,usa
CompanyY,CodeY,Description ForY,6015345472,ww.companyA.com,usa
CompanyZ,CodeZ,Description ForZ,6015345473,ww.companyB.com,col
CompanyA,CodeA,Description ForA,6015345450,ww.companyA.com,usa
CompanyB,CodeB,Description ForB,6015345450,ww.companyB.com,usa
CompanyC,CodeC,Description ForC,6015345450,ww.companyC.com,usa
CompanyD,CodeD,Description ForD,6015345451,ww.companyD.com,usa
CompanyE,CodeE,Description ForE,6015345452,ww.companyA.com,col
CompanyF,CodeF,Description ForF,6015345453,ww.companyB.com,mex
CompanyG,CodeG,Description ForG,6015345454,ww.companyC.com,can
CompanyH,CodeH,Description ForH,6015345455,ww.companyD.com,usa
CompanyI,CodeI,Description ForI,6015345456,ww.companyA.com,usa
CompanyJ,CodeJ,Description ForJ,6015345457,ww.companyB.com,usa
CompanyK,CodeK,Description ForK,6015345458,ww.companyC.com,usa
CompanyL,CodeL,Description ForL,6015345459,ww.companyD.com,col
CompanyM,CodeM,Description ForM,6015345460,ww.companyA.com,mex
CompanyN,CodeN,Description ForN,6015345461,ww.companyB.com,can
CompanyO,CodeO,Description ForO,6015345462,ww.companyC.com,usa
CompanyP,CodeP,Description ForP,6015345463,ww.companyD.com,usa
CompanyQ,CodeQ,Description ForQ,6015345464,ww.companyA.com,usa
CompanyR,CodeR,Description ForR,6015345465,ww.companyB.com,usa
CompanyS,CodeS,Description ForS,6015345466,ww.companyC.com,col
CompanyT,CodeT,Description ForT,6015345467,ww.companyD.com,mex
CompanyT,CodeT,Description ForT,6015345467,ww.companyD.com,mex
CompanyT,CodeT,Description ForT,6015345467,ww.companyD.com,mex
CompanyA,CodeA,Description ForA,6015345450,ww.companyA.com,usa
CompanyB,CodeB,Description ForB,6015345450,ww.companyB.com,usa
CompanyC,CodeC,Description ForC,6015345450,ww.companyC.com,usa
CompanyD,CodeD,Description ForD,6015345451,ww.companyD.com,usa
CompanyE,CodeE,Description ForE,6015345452,ww.companyA.com,col
CompanyF,CodeF,Description ForF,6015345453,ww.companyB.com,mex
CompanyG,CodeG,Description ForG,6015345454,ww.companyC.com,can
CompanyH,CodeH,Description ForH,6015345455,ww.companyD.com,usa
CompanyI,CodeI,Description ForI,6015345456,ww.companyA.com,usa
CompanyJ,CodeJ,Description ForJ,6015345457,ww.companyB.com,usa
CompanyK,CodeK,Description ForK,6015345458,ww.companyC.com,usa
CompanyL,CodeL,Description ForL,6015345459,ww.companyD.com,col
CompanyM,CodeM,Description ForM,6015345460,ww.companyA.com,mex
CompanyN,CodeN,Description ForN,6015345461,ww.companyB.com,can
CompanyO,CodeO,Description ForO,6015345462,ww.companyC.com,usa
CompanyP,CodeP,Description ForP,6015345463,ww.companyD.com,usa
CompanyQ,CodeQ,Description ForQ,6015345464,ww.companyA.com,usa
CompanyR,CodeR,Description ForR,6015345465,ww.companyB.com,usa
CompanyS,CodeS,Description ForS,6015345466,ww.companyC.com,col
CompanyT,CodeT,Description ForT,6015345467,ww.companyD.com,mex
CompanyU,CodeU,Description ForU,6015345468,ww.companyA.com,can
CompanyV,CodeV,Description ForV,6015345469,ww.companyB.com,usa
CompanyW,CodeW,Description ForW,6015345470,ww.companyC.com,usa
CompanyX,CodeX,Description ForX,6015345471,ww.companyD.com,usa
CompanyY,CodeY,Description ForY,6015345472,ww.companyA.com,usa
CompanyZ,CodeZ,Description ForZ,6015345473,ww.companyB.com,col
CompanyA,CodeA,Description ForA,6015345450,ww.companyA.com,usa
CompanyB,CodeB,Description ForB,6015345450,ww.companyB.com,usa
CompanyC,CodeC,Description ForC,6015345450,ww.companyC.com,usa
CompanyD,CodeD,Description ForD,6015345451,ww.companyD.com,usa
CompanyE,CodeE,Description ForE,6015345452,ww.companyA.com,col
CompanyF,CodeF,Description ForF,6015345453,ww.companyB.com,mex
CompanyG,CodeG,Description ForG,6015345454,ww.companyC.com,can
CompanyH,CodeH,Description ForH,6015345455,ww.companyD.com,usa
CompanyI,CodeI,Description ForI,6015345456,ww.companyA.com,usa
CompanyJ,CodeJ,Description ForJ,6015345457,ww.companyB.com,usa
CompanyK,CodeK,Description ForK,6015345458,ww.companyC.com,usa
CompanyL,CodeL,Description ForL,6015345459,ww.companyD.com,col
CompanyM,CodeM,Description ForM,6015345460,ww.companyA.com,mex
CompanyN,CodeN,Description ForN,6015345461,ww.companyB.com,can
CompanyO,CodeO,Description ForO,6015345462,ww.companyC.com,usa
CompanyP,CodeP,Description ForP,6015345463,ww.companyD.com,usa
CompanyQ,CodeQ,Description ForQ,6015345464,ww.companyA.com,usa
CompanyR,CodeR,Description ForR,6015345465,ww.companyB.com,usa
CompanyS,CodeS,Description ForS,6015345466,ww.companyC.com,col
CompanyT,CodeT,Description ForT,6015345467,ww.companyD.com,mex
CompanyU,CodeU,Description ForU,6015345468,ww.companyA.com,can
CompanyV,CodeV,Description ForV,6015345469,ww.companyB.com,usa
CompanyW,CodeW,Description ForW,6015345470,ww.companyC.com,usa
CompanyX,CodeX,Description ForX,6015345471,ww.companyD.com,usa
CompanyY,CodeY,Description ForY,6015345472,ww.companyA.com,usa
CompanyZ,CodeZ,Description ForZ,6015345473,ww.companyB.com,col
CompanyA,CodeA,Description ForA,6015345450,ww.companyA.com,usa
CompanyB,CodeB,Description ForB,6015345450,ww.companyB.com,usa
CompanyC,CodeC,Description ForC,6015345450,ww.companyC.com,usa
CompanyD,CodeD,Description ForD,6015345451,ww.companyD.com,usa
CompanyE,CodeE,Description ForE,6015345452,ww.companyA.com,col
CompanyF,CodeF,Description ForF,6015345453,ww.companyB.com,mex
CompanyG,CodeG,Description ForG,6015345454,ww.companyC.com,can
CompanyH,CodeH,Description ForH,6015345455,ww.companyD.com,usa
CompanyI,CodeI,Description ForI,6015345456,ww.companyA.com,usa
CompanyJ,CodeJ,Description ForJ,6015345457,ww.companyB.com,usa
CompanyK,CodeK,Description ForK,6015345458,ww.companyC.com,usa
CompanyL,CodeL,Description ForL,6015345459,ww.companyD.com,col
CompanyM,CodeM,Description ForM,6015345460,ww.companyA.com,mex
CompanyN,CodeN,Description ForN,6015345461,ww.companyB.com,can
CompanyO,CodeO,Description ForO,6015345462,ww.companyC.com,usa
CompanyP,CodeP,Description ForP,6015345463,ww.companyD.com,usa
CompanyQ,CodeQ,Description ForQ,6015345464,ww.companyA.com,usa
CompanyR,CodeR,Description ForR,6015345465,ww.companyB.com,usa
CompanyS,CodeS,Description ForS,6015345466,ww.companyC.com,col
CompanyT,CodeT,Description ForT,6015345467,ww.companyD.com,mex
CompanyU,CodeU,Description ForU,6015345468,ww.companyA.com,can
CompanyV,CodeV,Description ForV,6015345469,ww.companyB.com,usa
CompanyW,CodeW,Description ForW,6015345470,ww.companyC.com,usa
CompanyX,CodeX,Description ForX,6015345471,ww.companyD.com,usa
CompanyY,CodeY,Description ForY,6015345472,ww.companyA.com,usa
CompanyZ,CodeZ,Description ForZ,6015345473,ww.companyB.com,col
CompanyA,CodeA,Description ForA,6015345450,ww.companyA.com,usa
CompanyB,CodeB,Description ForB,6015345450,ww.companyB.com,usa
CompanyC,CodeC,Description ForC,6015345450,ww.companyC.com,usa
CompanyD,CodeD,Description ForD,6015345451,ww.companyD.com,usa
CompanyE,CodeE,Description ForE,6015345452,ww.companyA.com,col
CompanyF,CodeF,Description ForF,6015345453,ww.companyB.com,mex
CompanyG,CodeG,Description ForG,6015345454,ww.companyC.com,can
CompanyH,CodeH,Description ForH,6015345455,ww.companyD.com,usa
CompanyI,CodeI,Description ForI,6015345456,ww.companyA.com,usa
CompanyJ,CodeJ,Description ForJ,6015345457,ww.companyB.com,usa
CompanyK,CodeK,Description ForK,6015345458,ww.companyC.com,usa
CompanyL,CodeL,Description ForL,6015345459,ww.companyD.com,col
CompanyM,CodeM,Description ForM,6015345460,ww.companyA.com,mex
CompanyN,CodeN,Description ForN,6015345461,ww.companyB.com,can
CompanyO,CodeO,Description ForO,6015345462,ww.companyC.com,usa
CompanyP,CodeP,Description ForP,6015345463,ww.companyD.com,usa
CompanyQ,CodeQ,Description ForQ,6015345464,ww.companyA.com,usa
CompanyR,CodeR,Description ForR,6015345465,ww.companyB.com,usa
CompanyS,CodeS,Description ForS,6015345466,ww.companyC.com,col
CompanyT,CodeT,Description ForT,6015345467,ww.companyD.com,mex
CompanyT,CodeT,Description ForT,6015345467,ww.companyD.com,mex
CompanyT,CodeT,Description ForT,6015345467,ww.companyD.com,mex
